epoch 34 iteration300, G Loss: 0.7433974146842957, D Loss: 1.3869879245758057
epoch 35 iteration100, G Loss: 0.7085078358650208, D Loss: 1.385408639907837
epoch 35 iteration200, G Loss: 0.7175807356834412, D Loss: 1.3871283531188965
epoch 35 iteration300, G Loss: 0.727321445941925, D Loss: 1.3871632814407349
epoch 36 iteration100, G Loss: 0.722846269607544, D Loss: 1.3866746425628662
epoch 36 iteration200, G Loss: 0.6896577477455139, D Loss: 1.3899650573730469
epoch 36 iteration300, G Loss: 0.7271928787231445, D Loss: 1.387527346611023
epoch 37 iteration100, G Loss: 0.721123456954956, D Loss: 1.3864727020263672
epoch 37 iteration200, G Loss: 0.7230522036552429, D Loss: 1.3880412578582764
epoch 37 iteration300, G Loss: 0.7090619802474976, D Loss: 1.3882781267166138
epoch 38 iteration100, G Loss: 0.7159421443939209, D Loss: 1.386556625366211
epoch 38 iteration200, G Loss: 0.7218316793441772, D Loss: 1.3840394020080566
epoch 38 iteration300, G Loss: 0.729124903678894, D Loss: 1.3867547512054443
epoch 39 iteration100, G Loss: 0.7215082049369812, D Loss: 1.3866300582885742
epoch 39 iteration200, G Loss: 0.7277710437774658, D Loss: 1.3852121829986572
epoch 39 iteration300, G Loss: 0.7207348346710205, D Loss: 1.385955572128296
epoch 40 iteration100, G Loss: 0.7203687429428101, D Loss: 1.3870103359222412
epoch 40 iteration200, G Loss: 0.728837788105011, D Loss: 1.3861216306686401
epoch 40 iteration300, G Loss: 0.7215526103973389, D Loss: 1.3860644102096558
epoch 41 iteration100, G Loss: 0.7152639627456665, D Loss: 1.3866357803344727
epoch 41 iteration200, G Loss: 0.7150795459747314, D Loss: 1.3862230777740479
epoch 41 iteration300, G Loss: 0.7144566774368286, D Loss: 1.387194275856018
epoch 42 iteration100, G Loss: 0.723005473613739, D Loss: 1.3853225708007812
epoch 42 iteration200, G Loss: 0.7190781235694885, D Loss: 1.3856483697891235
epoch 42 iteration300, G Loss: 0.7223531007766724, D Loss: 1.3876254558563232
epoch 43 iteration100, G Loss: 0.7297435998916626, D Loss: 1.3878470659255981
epoch 43 iteration200, G Loss: 0.7167530059814453, D Loss: 1.3854825496673584
epoch 43 iteration300, G Loss: 0.7235895991325378, D Loss: 1.3863282203674316
